family	building_type	element	value_original	unit_original	value_m	parse	confidence	source	quote
hall_manor	royal/episcopal great hall (Eltham Palace, Kent)	room length x width	about 101 ft x 36 ft 3 in	ft-in	30.785	first measure in prose (ft)	measured	Garner & Stratton, Tudor Period v.1 (IA gri_33125010766489) leaf n232 / printed p.217	the hall being about 101 feet long and 36 feet 3 inches wide. The louvre was over the third bay from the upper end, but it has long since been removed
hall_manor	great merchant/city hall (Crosby Place, London, c.1466)	room length x width, and bay count with louvre position	about 54 x 27 ft; eight bays; louvre over the fifth bay from the dais end	ft	16.459	first measure in prose (ft)	measured	Garner & Stratton, Tudor Period v.1 (IA gri_33125010766489) leaf n233 / printed p.218	The hall here measures about 54 feet in length and 27 feet in width, divided into eight bays, with an hexagonal louvre over the fifth bay from the daïs end.
hall_manor	Tudor mansion great hall (Beddington Hall, Surrey, 16th c.)	room length x width, and truss count	61 ft 4 in x nearly 33 ft; three main trusses plus two three-quarter trusses at the ends	ft-in	18.694	first measure in prose (ft in)	measured	Garner & Stratton, Tudor Period v.1 (IA gri_33125010766489) leaf n233 / printed p.217	this hall measures 61 feet 4 inches in length by nearly 33 feet in width, and it is spanned by three main trusses, of which details are given on Plate CLV, and by two three-quarter trusses, one at each end against the walls
hall_manor	Tudor manor great hall with screens (Hoghton Tower, Lancashire)	room length x width (screens-inclusive)	54 ft long with the screens x nearly 26 ft wide	ft	16.459	first measure in prose (ft)	measured	Garner & Stratton, Tudor Period v.1 (IA gri_33125010766489) leaf n162 / printed p.147	"The north side of the upper courtyard is taken up by the great hall, a magnificent apartment, T-shaped, owing to the two large oriel windows, measuring with the ""screens"" 54 feet long, and nearly 26 feet wide"
hall_manor	Tudor manor great hall (Hoghton Tower, Lancashire)	window opening height above floor (sill / panelling line)	windows down to within 7 ft of the floor	ft	2.134	first measure in prose (ft)	measured	Garner & Stratton, Tudor Period v.1 (IA gri_33125010766489) leaf n162 / printed p.147	The south side, looking into the courtyard, is entirely occupied by windows to within 7 feet of the floor: beneath the sills the walls are panelled in oak, elsewhere the unplastered masonry is exposed
hall_manor	stone manor house hall, ceiled (Wilderhope Manor House, Shropshire)	room length x width x storey height	about 29 x 20 ft (exclusive of the oriel) x 13 ft 9 in high	ft-in	8.839	first measure in prose (ft)	measured	Garner & Stratton, Tudor Period v.1 (IA gri_33125010766489) leaf n186 / printed p.171	The hall measures about 29 feet by 20 feet wide, exclusive of the oriel, and is 13 feet 9 inches high: it is the full width of the house, lighted, as was so often the case, on both sides
hall_manor	stone manor house newel stair (Wilderhope Manor House, Shropshire)	stair tread / step width and newel post diameter	steps 5 ft wide; central octagonal newel post 7 in diameter	ft-in	1.524	first measure in prose (ft)	measured	Garner & Stratton, Tudor Period v.1 (IA gri_33125010766489) leaf n186 / printed p.171	the steps, 5 feet wide, are formed of solid balks of oak framed into a central octagonal newel post 7 inches in diameter
hall_manor	moated manor great hall (Ightham Mote, Kent)	room length x width x height to roof springing	about 32 ft long including the screens x 20 ft wide x 20 ft high to springing	ft	9.754	first measure in prose (ft)	measured	Garner & Stratton, Tudor Period v.1 (IA gri_33125010766489) leaf n59 / printed p.42	"The hall remains nearly intact: it measures about 32 feet in length, including the ""screens"", 20 feet in width, and 20 feet high to the springing of the open timber roof which is of the early hammer beam type"
hall_manor	timber-framed guildhall with cellar (Lavenham Guildhall, Suffolk, c.1529)	room length x width (main hall) and street frontages	main hall about 30 x 17 ft; frontage 48 ft to the market-place, 27 ft to Lady Street	ft	9.144	first measure in prose (ft)	measured	Garner & Stratton, Tudor Period v.1 (IA gri_33125010766489) leaves n124-n125 / printed pp.107-108	The main hall, which was the meeting place for the merchants, is entered through the porch, and measures about 30 feet by 17 feet.
hall_manor	timber-framed guildhall cellar (Lavenham Guildhall, Suffolk)	room length x width x storey height (cellar headroom)	about 31 ft 9 in x 16 ft 10 in x 7 ft 3 in high	ft-in	9.677	first measure in prose (ft in)	measured	Garner & Stratton, Tudor Period v.1 (IA gri_33125010766489) leaf n125 / printed p.108	The cellar, which is about 31 feet 9 inches by 16 feet 10 inches, and 7 feet 3 inches high, is reached by a brick stair beneath the staircase leading to the first floor: the windows are small and iron barred.
hall_manor	timber-framed guildhall / jettied town-manor range (Lavenham, Suffolk)	first-floor jetty overhang	about 18 in	ft-in	0.457	first measure in prose (in)	measured	Garner & Stratton, Tudor Period v.1 (IA gri_33125010766489) leaf n125 / printed p.108	The first floor overhangs the face of the ground floor about 18 inches, and this projection is continued on both frontages by means of a diagonal beam and angle post
hall_manor	castle great hall over vaulted undercroft (Kenilworth Castle, Warwickshire)	room length x width	90 x 45 ft	ft	27.432	first measure in prose (ft)	measured	Gotch, The Growth of the English House (IA growthofenglishh00gotc) leaf n72	The great hall, 90 ft. long by 45 ft. wide, occupied nearly the whole of the west front. It stood on a vaulted undercroft
hall_manor	courtyard manor great hall over vaulted undercroft (Wingfield Manor, Derbyshire, c.1440)	room length x width	71 ft 7 in x 36 ft 5 in (Haddon Hall hall compared at 43 x 28 ft)	ft-in	21.819	first measure in prose (ft in)	measured	Gotch, The Growth of the English House (IA growthofenglishh00gotc) leaf n86	The hall stands on a vaulted undercroft, and must have been a fine room ; it measures 71 ft. 7 in. long by 36 ft. 5 in. wide, and is considerably larger than the hall at Haddon, which is 43 ft. by 28 ft.
hall_manor	aisled hall (Oakham Castle, Rutland, c.1180)	room length x width, and arcade arch span	65 x 43 ft; four arcade arches of about 15 ft span	ft	19.812	first measure in prose (ft)	measured	Gotch, The Growth of the English House (IA growthofenglishh00gotc) leaves n43, n48	The four arches of the arcades are semicircular and of about 15 ft. span ; they rest on massive round pillars (Fig. 13), and where they spring from the end walls they rest on corbels of unusual and quaint design.
hall_manor	fortified manor hall (Stokesay Castle, Shropshire, c.1240-90)	room length x width (interior)	51 ft x 31 ft (Gotch's plan gives 52 x 31 ft)	ft	15.545	first measure in prose (ft)	measured	Turner, Domestic Architecture in England vol 1 (IA someaccountofdom00turn) leaf n347	occupied in its whole height and width by the hall, which is in the interior 51 ft. by 31. It is lighted on the west side by four large windows over the moat, and on the east by three large ones
hall_manor	medieval hall (general English type)	window opening height above floor (sill height)	kept up some 10 or 12 ft from the floor	ft	3.658	first measure in prose (ft)	author-rule	Gotch, The Growth of the English House (IA growthofenglishh00gotc) leaf n120	Its lights were brought down low enough to afford an outlook, whereas the other windows of the hall were kept up some 10 or 12 ft. from the floor.
hall_manor	medieval hall screens passage (general English type)	screen height (and gallery floor over the screens)	stopped short some 10 or 12 ft high	ft	3.658	first measure in prose (ft)	author-rule	Gotch, The Growth of the English House (IA growthofenglishh00gotc) leaf n42	The screen did not extend the full height of the hall, but stopped short some 10 or 12 ft. high, and was connected to the end wall by a floor, which thus at once served as a ceiling to the entrance
hall_manor	manor house hall (Sutton Courtenay, Berkshire, 14th c.)	window opening width x height (sill to arch springing)	2 ft 5.5 in wide x 2 ft 3.375 in from sill to springing	ft-in	0.749	first measure in prose (ft in)	measured	Turner/Parker, Domestic Architecture in England vol 2 (IA someaccountofdom00park_0) leaf n447	The dimensions of these windows are rather peculiar, 2 ft. 5½ in. wide by 2 ft. 3⅜ in. from the sill to the line of the springing of the arch. The size of the room is about 20 ft. 6 in. by 66 ft.
hall_manor	manor house solar wing (Sutton Courtenay, Berkshire)	room length x width (solar)	about 35 x 17 ft	ft	10.668	first measure in prose (ft)	measured	Turner/Parker, Domestic Architecture in England vol 2 (IA someaccountofdom00park_0) leaf n448	in this is the solar, which was probably about 35 feet by 17, and the original open timber roof, which still extends the whole length of this wing
hall_manor	fortified manor chapel squint (Broughton Castle, Oxfordshire)	door/opening size and its height above floor	opening 3 ft 6 in high, sill 10 in above the floor	ft-in	1.067	first measure in prose (ft in)	measured	Turner/Parker, Domestic Architecture in England vol 2 (IA someaccountofdom00park_0) leaf n432	From this room a square opening 10 inches from the floor, and 3 ft. 6 in. high, has been left into the chapel (but now blocked up.)
hall_manor	episcopal palace great hall (Archbishop's Palace, Mayfield, Sussex)	bay spacing, porch size and buttress footprint	four bays, each divided by a stone arch; porch 12 ft 6 in x 19 ft 10 in inside; buttresses 3 ft 10 in x 7 ft 6 in	ft-in	3.810	first measure in prose (ft in)	measured	Turner/Parker, Domestic Architecture in England vol 2 (IA someaccountofdom00park_0) leaves n473-n474	It is of four bays, each bay divided internally by a fine stone arch. The internal dimensions are very grand, 69 ft. 5 in. by 39 ft. 3 in. The entrance porch (12 ft. 6 in. by 19 ft. 10 in. inside) is on the south side of the hall, in the westernmost bay.
hall_manor	tower-house internal circulation (Tattershall Castle, Lincolnshire)	stair diameter (circular newel stair serving four storeys)	10 ft diameter	ft	3.048	first measure in prose (ft)	measured	Gotch, The Growth of the English House (IA growthofenglishh00gotc) leaf n96	access from floor to floor is obtained by a circular staircase, 10 ft. in diameter. The rooms are approached from the stairs through vaulted lobbies, and on the third floor through a long vaulted passage in the thickness of the wall.
hall_manor	tower-house / hall-in-keep (Castle Hedingham, Essex, c.1130)	stair diameter and hall arch span	staircase more than 11 ft diameter; hall arch of nearly 30 ft span	ft	3.353	first measure in prose (ft)	measured	Gotch, The Growth of the English House (IA growthofenglishh00gotc) leaves n24, n26	Across the middle of the entrance floor and of the hall is thrown a fine bold semicircular arch, of nearly 30 ft. span, to carry the floor of the room over
hall_manor	grand'salle, French palace (Poitiers, Palais des comtes)	room length x width (dans oeuvre)	50 m long x 16 m wide (given elsewhere as 16.30 m internal)	m	50.000	first measure in prose (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, article 'Salle'	Ce vaisseau, l'un des plus grands qui fussent en France, avait 50 mètres de longueur sur 16 mètres, dans œuvre.
hall_manor	grand'salle, French palace (Palais de Paris)	room length x width (dans oeuvre)	70.50 m long x 27.50 m wide	m	70.500	first measure in prose (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, article 'Salle'	La grand'salle proprement dite a 70m,50 de long sur 27m,50 de large dans œuvre.
hall_manor	grand'salle hall fireplace (Poitiers)	door/opening size — fireplace opening width and height under mantel	10.00 m wide x 2.30 m under the mantel (sept pieds); hall internal width 16.30 m	m	10.000	first measure in prose (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, article 'Cheminée'	elle n'a pas moins de 10m,00 de largeur sur 2m,30 sous le manteau (sept pieds). ... cette belle salle dont la largeur, dans œuvre, est de 16m,30.
hall_manor	private chamber fireplace, town mansion (Hôtel Jacques Coeur, Bourges, 15th c.)	door/opening size — fireplace opening height under mantel x width	1.66 m under the mantel x 2.57 m wide	m	1.660	first measure in prose (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, article 'Cheminée'	Cette cheminée porte 1m,66 sous le manteau sur 2m,57 de largeur.
stair	stone stair, any (masonry practice)	newel diameter — crossover from solid pillar to hollow shell	2 ft 6 in (0.76 m) maximum for a solid pillar; above that a thin wall round the newel	ft-in	0.760	metric conversion in source string	author-rule	Gwilt, Encyclopaedia of Architecture, para 1926, printed p. 587 (IA encyclopaediaofa00gwil, OCR leaf 612)	Where elegance is not required, and where the newel does not exceed 2 feet 6 inches, the ends of the steps may be conveniently supported by a solid pillar ; but when the newel is thicker, a thin wall surrounding the newel would be cheaper.
stair	stone geometrical stair	step thickness at thinnest point (for a 4 ft step)	2 in (0.051 m)	in	0.051	metric conversion in source string	author-rule	Gwilt, Encyclopaedia of Architecture, para 1928, printed p. 587 (IA encyclopaediaofa00gwil, OCR leaf 612)	With most sorts of stone the thickness of every step at the thinnest place need not exceed 2 inches for steps of 4 feet in length ; that is, measuring from the interior angle of every step perpendicular to the rake.
stair	stone geometrical stair	step thickness at the interior angle, as a function of step length	thickness in inches = half the step length in feet (5 ft step -> 2.5 in)	in	1.524	first measure in prose (ft)	author-rule	Gwilt, Encyclopaedia of Architecture, para 1928, printed p. 587 (IA encyclopaediaofa00gwil, OCR leaf 612)	then will the thickness of them at the interior angles be half the number of inches that the length of the steps is in feet ; for instance, a step 5 feet long would be 2i inches at that place.
stair	stone geometrical stair	joggle rebate — depth the tread plane is carried behind the riser face	1 in (0.025 m)	in	0.025	metric conversion in source string	author-rule	Gwilt, Encyclopaedia of Architecture, para 1927, printed p. 587 (IA encyclopaediaofa00gwil, OCR leaf 612)	which may be level from the face of the risers to about one inch within the joint. Thus the plane of the tread of each step is continued one inch within the surface of each riser
stair	stone geometrical stair	landing / half-pace slab thickness relative to the steps	same thickness as the step stones	in		unparsed	author-rule	Gwilt, Encyclopaedia of Architecture, para 1929, printed p. 588 (IA encyclopaediaofa00gwil, OCR leaf 613)	The stones which form a platform are generally of the same thickness as those forming the steps.
stair	any staircase (leading principle)	tread x rise constant product	tread x rise = 66 (12 in tread pairs with 5.5 in rise; 10 in tread -> 6.6 in rise)	in	0.305	first measure in prose (in)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2177, printed p. 668 (IA encyclopaediaofa00gwil) — verified on plate n689	Now, as in common practice it is found that the convenient rise of a step 12 inches in width is 5 1/2 inches, it may be assumed as some guide for the regulation of other dimensions. Thus 12 x 5 1/2 = 66, which would be a constant numerator for the proportion.
stair	common house stair vs. best staircase	tread breadth (the two-tier quality rule)	commonest staircase 10 in medium; best staircases not less than 12 in and not more than 18 in (0.30 / 0.30-0.46 m)	in	0.254	first measure in prose (in)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2177, printed p. 668 (IA encyclopaediaofa00gwil) — verified on plate n689	The breadth of steps in the commonest staircase may be taken at 10 inches at a medium. In the best staircases the breadth of the step should not be less than 12 inches, neither should it be more than 18 inches.
stair	any staircase	tread/riser pairing table (Newland 1860)	tread 5 in : riser 9 in; 6:8.5; 7:8; 8:7.5; 9:7; 10:6.5; 11:6; 12:5.5; 13:5; 14:4.5 — tread ascends by 1 in as riser descends by 0.5 in. Pitch range = 60.9 deg down to 17.8 deg	in	0.127	first measure in prose (in)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2178a table, printed p. 668 (IA encyclopaediaofa00gwil) — table read directly off plate n689, not OCR	Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches. It will readily be seen that each of these steps and risers are such as may suitably pair together. (Newland, Carpenter's and Joiner's Assistant, 1860, p. 197.)
stair	better-sort house staircase	clear stair width for two people to pass	not less than 4 ft (1.22 m); town houses often forced below it	ft	1.220	metric conversion in source string	author-rule	Gwilt, Encyclopaedia of Architecture, para 2179, printed p. 668 (IA encyclopaediaofa00gwil) — verified on plate n689	The width of the better sorts of staircases should not be less than 4 feet, to allow of two persons freely passing each other ; but the want of space in town houses often obliges the architect to submit to less in what is called the going of the stair.
stair	timber stair with solid steps	round-log yield for solid steps	6 steps from a log 30 in (0.76 m) diameter, ~10 per cent saving over square timber	in	0.760	metric conversion in source string	author-rule	Gwilt, Encyclopaedia of Architecture, para 2180a, printed p. 668 (IA encyclopaediaofa00gwil) — verified on plate n689	A curious instance of economy of material is given in fig. 781a., which shows the mode of getting six steps out of round timber 30 inches in diameter, being a saving of about ten per cent. upon the attempt to cut up square timber.
stair	timber geometrical stair	tread and riser board thickness as a function of going	not less than 1.5 in for a 4 ft going; add 0.125 in for every additional 6 in of step length	in	0.038	first measure in prose (in)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2184, printed p. 670 (IA encyclopaediaofa00gwil, OCR leaf 694)	for strength's sake, the treads and risers, when placed in position, should not be less than 1 1/2 inch thick, supposing the going of the stair or length of the step to be 4 feet. For every 6 inches in length of the step an eighth of an inch should be added.
stair	timber geometrical stair	balusters per step	2 per step	count		non-length (count)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2186, printed p. 670 (IA encyclopaediaofa00gwil, OCR leaf 695)	and LMN part of the rail supported by two balusters upon every step.
stair	timber geometrical stair	handrail breadth	about 2.25 in (0.057 m)	in	0.057	metric conversion in source string	author-rule	Gwilt, Encyclopaedia of Architecture, para 2190, printed p. 671 (IA encyclopaediaofa00gwil) — read directly off plate n692	Make BR equal to the breadth of the rail; namely, about two inches and a quarter.
stair	principal staircase, model specification (timber)	full member scantling set	treads 1.5 in pitch pine; risers 1 in; wall strings 1.5 in; outer string boards 2 in; newels 6 in square; oak handrail 4 in wide x 6 in deep; balusters 1.5 in square oak	in	0.038	first measure in prose (in)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2285c specification schedule, printed p. 766 (IA encyclopaediaofa00gwil, OCR leaf 790)	The principal staircase to have 1 5-inch pitch pine (or other) treads, with rounded nosing and hollow moulding under same, and inch risers, glued and blocked to fir carriages ; the ends of the steps to be housed into 1 1/2-inch wall strings, and 2-inch outer string boards, sunk and staff beaded, and finished at the top with a boldly moulded capping, framed at the bottom and corners into 6 inch square newels, with moulded finials, bases, and pendents, as drawing. Boldly moulded oak handrail, 4 in
stair	palace / grand house stair (Palladio)	minimum clear stair width so two people can pass	4 Vicentine ft = 4 ft 6 in English (1.38 m)	ft-in	1.380	metric conversion in source string	author-rule	Gwilt, Encyclopaedia of Architecture, para 2804 quoting Palladio, printed p. 928 (IA encyclopaediaofa00gwil) — verified on plate n949	"Nevertheless, they ought never to be narrower than 4 feet"" (4 feet 6 inches English *), ""so that two persons meeting on the stairs may conveniently pass each other."
stair	palace / grand house stair (Palladio)	Vicentine-to-English foot conversion (needed to use every Palladio stair figure)	1 Vicentine ft = about 13.6 English in (0.345 m)	in	0.345	metric conversion in source string	author-rule	Gwilt, Encyclopaedia of Architecture, footnote to para 2804, printed p. 928 (IA encyclopaediaofa00gwil) — verified on plate n949	* The Vicentine foot is about 13.6 inches English.
stair	palace / grand house stair (Palladio)	flight plan proportion	length = 2 x breadth	ratio		non-length (ratio)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2804 quoting Palladio, printed p. 928 (IA encyclopaediaofa00gwil) — verified on plate n949	Therefore, they must be twice as long as broad.
stair	palace / grand house stair (Palladio)	riser height range	4 to 6 Vicentine in = 4.53 to 6.80 English in (0.115 to 0.173 m)	in	0.173	first measure in prose (m)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2804 quoting Palladio, printed p. 928 (IA encyclopaediaofa00gwil) — verified on plate n949	"The steps ought not to exceed 6 inches in height ; and if they be lower they must be so to long and continued stairs, for they will be so much the easier, because one needs not lift the foot so high ; but they must never be lower than 4 inches."" (These are Vicentine inches.)"
stair	palace / grand house stair (Palladio)	tread breadth range	1 to 1.5 Vicentine ft = 13.6 to 20.4 English in (0.345 to 0.518 m)	ft	0.518	first measure in prose (m)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2804 quoting Palladio, printed p. 928 (IA encyclopaediaofa00gwil) — verified on plate n949	The breadth of the steps ought not to be less than a foot, nor more than a foot and a half.
stair	palace / grand house stair (Palladio)	maximum steps in one flight before a half-pace landing	11 to 13, odd number preferred	count		non-length (count)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2804 quoting Palladio, printed p. 928 (IA encyclopaediaofa00gwil) — verified on plate n949	It will be sufficient to put eleven or thirteen steps at most to a flight before coming to a half-pace, thus to help weak people and of short breath, as well that they may there have the opportunity of resting as to allow of any person falling from above being there caught.
stair	spiral stair with solid newel (Palladio)	newel-to-well diameter split	diameter / 3 -> 2 parts steps, 1 part newel (newel = 33 pct of diameter); alternatively diameter / 7 -> 3 parts newel, 4 parts steps (newel = 43 pct, the Trajan's Column setting-out)	ratio		non-length (ratio)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2806 quoting Palladio, printed p. 929 (IA encyclopaediaofa00gwil, OCR leaf 956)	"The diameter being divided into three parts, two are given for the steps, and the third is for the newel ; or, otherwise, the diameter may be divided into seven parts, three of which are for the newel and four for the steps. ""Thus,"" he says, ""was made the staircase of the column of Trajan at Rome"""
stair	spiral stair with solid newel, tight plan (Palladio plate)	newel-to-well diameter split when space is short	diameter / 12 -> 4 parts newel (newel = 33 pct of diameter), remainder split equally between the two step arms	ratio		non-length (ratio)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2808 (fig. 997), printed p. 929 (IA encyclopaediaofa00gwil, OCR leaf 957)	Fig. 997. is a plan and section of a staircase with a solid newel, in which the whole diameter is divided into twelve parts, and of these four are given to the newel and the remainder divided equally between the steps.
stair	spiral stair with open newel (Palladio plate)	open-well-to-outer diameter split	diameter / 4 -> 2 parts open well (well = 50 pct of diameter), remainder split equally between the two step arms	ratio		non-length (ratio)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2809 (fig. 998), printed p. 930 (IA encyclopaediaofa00gwil, OCR leaf 957)	Fig. 998. is the plan and section of a spiral staircase with an open newel, wherein the diameter is divided into four parts, two being given to the newel, and the remainder equally divided between the steps.
stair	elliptical stair with open newel (Palladio plate)	conjugate-diameter split	conjugate diameter / 4 -> 2 parts to the newel's conjugate diameter, 1 part each side to the steps	ratio		non-length (ratio)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2810 (fig. 999), printed p. 930 (IA encyclopaediaofa00gwil, OCR leaf 957)	Fig. 999. is the plan and section of an elliptical staircase with an open newel. The conjugate diameter is divided into four parts, whereof two are given to the conjugate diameter of the newel, and the remainder one on each side to the steps.
stair	any staircase (Blondel's law of ease)	tread/rise relation as a linear law	w = x - 2h with x = 24 French in (0.65 m); h = 5 in -> w = 14 in. Equivalent: going + 2 x rise = 24 French in	in	0.650	metric conversion in source string	author-rule	Gwilt, Encyclopaedia of Architecture, paras 2813-2814 after Blondel, Cours d'Architecture, printed p. 930 (IA encyclopaediaofa00gwil, OCR leaf 957)	Blondel assumes 24 (French) inches for the value of x, and 12 for that of z. We are not sufficiently, from experiment, convinced that these are the proper values; but, following him, if those values be substituted in the equation h = 1/2 (24 - w), and w = 24 - 2h: if the height of a step be 5 inches, its width should be 24 - 10 = 14 inches
stair	ceremonial platform stair, Persepolis (Achaemenid)	riser and tread of the principal staircase	rise 4 in (0.102 m), tread 14 in (0.356 m) — pitch 16 deg	in	0.102	metric conversion in source string	measured	Gwilt, Encyclopaedia of Architecture, para 47, printed p. 20 (IA encyclopaediaofa00gwil) — read directly off plate n41	The steps are 4 in. high, and 14 in. wide.
stair	ceremonial platform stair, Persepolis (Achaemenid)	flight width and gap between the paired flights at the foot	each flight 25 ft 7 in (7.80 m) wide; 42 ft (12.80 m) between the flights at the bottom	ft-in	7.800	metric conversion in source string	measured	Gwilt, Encyclopaedia of Architecture, para 47, printed p. 20 (IA encyclopaediaofa00gwil) — read directly off plate n41	It has a double flight, the distance between the flights at the bottom being 42 ft., and the width of them is 25 ft. 7 in.
stair	ceremonial platform stair, Persepolis (Achaemenid)	half-pace and upper landing dimensions	half spaces at the top of the first flight 51 ft 4 in (15.65 m) wide; upper landing 75 ft (22.9 m) between the flights	ft-in	15.650	metric conversion in source string	measured	Gwilt, Encyclopaedia of Architecture, para 47, printed p. 20 (IA encyclopaediaofa00gwil) — read directly off plate n41	The half spaces at the top of the first flight are 51 ft. 4 in. wide. The upper flights are separated from the lower by a wall which runs through at the upper landing. The upper flights are in forty-eight steps, and are cut out of single blocks of the rock. The upper landing is seventy-five feet between the flights.
stair	ceremonial platform stair, Persepolis (Achaemenid)	steps per flight	lower flights 55 surviving north / 53 south; upper flights 48 steps	count		non-length (count)	measured	Gwilt, Encyclopaedia of Architecture, para 47, printed p. 20 (IA encyclopaediaofa00gwil) — read directly off plate n41	Fifty-five of them remain on the north side, and fifty-three on the south ; and it is probable that some are buried by the ruins.
stair	mural stair in a temple wall (Greek, Agrigentum)	stair taken out of the pronaos wall thickness — step count of a surviving example	41 steps, still entire	count		non-length (count)	measured	Gwilt, Encyclopaedia of Architecture, para 2799, printed p. 927 (IA encyclopaediaofa00gwil, OCR leaf 954)	The best preserved ancient staircases are those constructed in the thickness of the walls of the pronaos of temples for ascending to the roofs. Of this sort remains are found in several peripteral temples. That of the temple of Concord at Agrigentum is still entire, and consists of forty-one steps.
stair	town house stair, Pompeii	riser height of surviving domestic stairs	sometimes 1 ft (0.30 m)	ft	0.300	metric conversion in source string	measured	Gwilt, Encyclopaedia of Architecture, para 2800, printed p. 927 (IA encyclopaediaofa00gwil, OCR leaf 954)	Where they exist, as in the building at the above place called the country house, and some others, they are narrow and inconvenient, with steps sometimes a foot in height.
stair	palace grand staircase (Caserta)	step length (monolithic marble) and step count	100 steps, each 18 ft (5.49 m) long, each a single piece of marble; splits into two flights at the first landing	ft	5.490	metric conversion in source string	measured	Gwilt, Encyclopaedia of Architecture, glossary/example entry on the palace at Caserta (IA encyclopaediaofa00gwil, OCR leaf 1358)	At the first landing it is divided into two flights ; the hundred steps of which it is composed are 18 feet long, and each of one piece of marble ; it is lighted also from the top by a double skylight.
stair	monolithic stone stair (material supply limit)	maximum length of single-block step actually quarried and shipped	16 ft (4.88 m) blocks; ordinary run 4 to 5 ft wide, up to 20 ft long obtainable	ft	4.880	metric conversion in source string	measured	Gwilt, Encyclopaedia of Architecture, section on Irish black marble quarries, printed p. c.494 (IA encyclopaediaofa00gwil, OCR leaf 516)	Some blocks 16 feet in length were sent over for a staircase for the Duke of Hamilton's seat in Scotland, who was also furnished with landings and solid balustrades worked to a fine polish.
stair	stone stair landing (material supply limit)	largest single-stone landing slab supplied	17 ft 6 in x 7 ft (5.33 x 2.13 m); landings up to 130 sq ft available	ft-in	5.334	first measure in prose (ft in)	measured	Gwilt, Encyclopaedia of Architecture, section on Yorkshire millstone-grit quarries (IA encyclopaediaofa00gwil, OCR leaf 499)	Landings up to 130 feet superficial, suitable for hard wear; one (in 1876), being 17 feet 6 inches long by 7 feet wide, was supplied for a floor and ceiling in a London bank.
stair	public building / theatre escape stair	stair width band and tread for a crowd-carrying stair	never less than 5 ft (1.52 m) wide, some writers say not more than 8 ft (2.44 m); tread 12 in; equal flights of about 13 steps for headway	ft	1.520	metric conversion in source string	author-rule	Gwilt, Encyclopaedia of Architecture, para 2970b, on theatre planning (IA encyclopaediaofa00gwil, OCR leaf 1097)	Staircases should never be less than 5 feet wide (some writers say not more than 8 feet wide), the steps to be all straight, no winders, 12 inches in the tread ... there should be an equal number of steps to each flight, say thirteen for headway and space
stair	large public staircase with a centre and two side flights	width relation between centre and side flights	centre flight width = sum of the two side flight widths	ratio		non-length (ratio)	author-rule	Gwilt, Encyclopaedia of Architecture, para 2970b (IA encyclopaediaofa00gwil, OCR leaf 1097)	In large staircases, which consist of a centre and two side flights, the central one should be equal in width to the two side flights together.
stair	medieval stair, square or oblong plan (Viollet, construction fact)	how winder turns are carried — NO stone strings in the middle ages	turns carried on arcs, not on cut stone limons	n/a (construction rule)		unparsed	documented-reconstruction	Viollet-le-Duc, Dictionnaire raisonne, article 'Limon' (fr.wikisource, 442 chars, previously unmined)	Les limons de pierre n'etaient pas employes dans l'architecture du moyen age, les revolutions des marches dans les escaliers a plan carre ou barlong etant alors portees sur des arcs, ce qui etait beaucoup plus solide que le systeme de limons appareilles.
curtain_rampart	curtain wall crenellation, 13th c. (general formula)	merlon height above chemin de ronde floor	2.00	m	2.000	m	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Les merlons ont 2 mètres de haut sur 1 m , 70 au moins, et 3 m , 30 au plus de largeur sur 0,45 c. d’épaisseur ; l’appui des créneaux est à 1 mètre du sol du chemin de ronde, et leur largeur est de 0,70 c.
curtain_rampart	curtain wall crenellation, 13th c. (general formula)	merlon width (bay spacing of the crenellation)	1.70 min to 3.30 max	m	1.700	first number, unit column (m)	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Les merlons ont 2 mètres de haut sur 1 m , 70 au moins, et 3 m , 30 au plus de largeur sur 0,45 c. d’épaisseur
curtain_rampart	curtain wall crenellation, 13th c. (general formula)	merlon thickness (parapet thickness at the wall head)	0.45	m	0.450	m	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Les merlons ont 2 mètres de haut sur 1 m , 70 au moins, et 3 m , 30 au plus de largeur sur 0,45 c. d’épaisseur
