subject	element	value	unit	french_quote	source_article
Construction -- Voutes	Cerce board thickness	0.04	m (approx)	Chacune des cerces, coupées dans une planche de 0,04 c. environ d’épaisseur, porte au milieu une rainure évidée	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Worked example, fig. 49 ter	HYPOTHETICAL WORKED EXAMPLE, not a measured building - window head height on face AB of an irregular hall	10.00	m	Il s’agit de prendre sur la face AB un jour à 10 m ,00 de hauteur	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Worked example, fig. 49 ter	HYPOTHETICAL WORKED EXAMPLE, not a measured building - max wall-arch crown height on faces BC and AD	6.00	m	de ne pas élever les clefs des formerets sur les faces BC et AD à plus de 6 m ,00	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Worked example, fig. 49 ter	HYPOTHETICAL WORKED EXAMPLE, not a measured building - max wall-arch crown height on face CD	4.00	m	et la clef du formeret sur la face CD à plus de 4 m ,00	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Worked example, fig. 49 ter	HYPOTHETICAL WORKED EXAMPLE, not a measured building - length of face CD	8.00	m	le côté CD ayant 8 m ,00 de long, sur cette face CD nous tracerons un formeret plein cintre dont la naissance sera posée sur le sol même	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Validity limit of the 16th-century abutment rule	pier height	<= 1.5 x arch span	ratio	les arcs sont montés sur des pieds-droits d’une hauteur égale pour ces arcs différents et qui n’ont pas plus d’une fois et demie le diamètre ou la base de ces arcs	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Wall-zone fraction of a web cell built as plain walling, unsupported [[LOWER BOUND, NOT A CENTRAL VALUE: the text is 'il monte AU MOINS un tiers de chacun des cotes de son remplissage comme un mur'.]]	~1/3	fraction of each side	il monte au moins un tiers de chacun des côtés de son remplissage comme un mur … Mais au delà du premier tiers, ou environ, il faut l’aide d’une cerce	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Rise ordering constraint for a square bay with an intermediate transverse arch (fig. 55)	rise(intersecting doubleau) = R(ogive) > rise(principal doubleau) > rise(formeret incl. stilting)	relation	l’arc ogive étant plein cintre, l’arc doubleau d’intersection doit avoir une flèche CH égale au rayon CI ; que, dans les cas ordinaires, l’arc doubleau principal doit avoir une flèche JG moins longue que le rayon CI, et que l’arc formeret doit avoir, y compris sa naissance relevée, une flèche KF moins longue que celle de l’arc doubleau principal	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Radius rule for an oblong bay	R(diagonal) = R(transverse) = 0.5 x bay diagonal	relation	reportant le demi-diamètre AD sur la ligne de base de l’arc doubleau AE, nous obtenons en F le centre de l’une des branches de l’arc doubleau, et nous traçons l’arc AG, qui possède le même rayon que l’arc ABC	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Roman/Romanesque barrel vault thickness if built conventionally (article Voute, fig. 1)	0.40 to 0.50	m	si, à partir du niveau N, les maçons avaient dû bander une voûte de 0 m ,40 à 0 m ,50 d’épaisseur en briques ou moellons par le procédé ordinaire	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Sag of a very large timber centering over 3-4 months (article Voute)	0.50	m at the crown	un cintrage de cette importance s’affaisserait peut-être de 0 m ,50 à son sommet au bout de trois ou quatre mois	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Pantheon, Rome	vault thickness near the lunette (article Voute)	1.50	m (min)	l’épaisseur de la voûte, qui, près de la lunette, n’a pas moins de 1 m ,50	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Hemispherical vault thickness at the nerves (article Voute)	~0.50	m	une voûte hémisphérique de cette étendue, d’une épaisseur de 0 m ,50 environ, au droit des nerfs	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Pantheon of Agrippa	dome diameter (article Voute, footnote)	43.36	m	La voûte du Panthéon d’Agrippa a 43 mètres 36 centimètres de diamètre.	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Amiens cathedral	transept crossing vault, pier axis to pier axis (article Voute)	14.40	m (average)	Cette voûte carrée, qui porte 14 m ,40 en moyenne d’axe en axe des piliers	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Basilica of Chagga (2nd-3rd c AD): bay spacing, pier axis to axis (article Voute)	2.50	m (average)	Les travées de cette basilique sont étroites (2 m ,50 d’axe en axe des piles, en moyenne)	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Grille of Maximilian I tomb (fragment, fig. 44)	thickness of the beaten-iron skin over the core (ame)	0.001-0.002	m	Bien que celui-ci n'ait qu'une epaisseur de 1 ou 2 millimetres au plus, il adhere parfaitement a cette ame sur toute sa surface	Serrurerie, Viollet-le-Duc, Dictionnaire raisonne (recovered from verification; the serrurerie reader delivered no findings file)
Beaten-iron ornament (fig. 18)	thickness of each of the two laminae of fer battu	0.002	m (approx.)	Deux lames de fer battu de 0 m ,002 d'epaisseur environ	Serrurerie, Viollet-le-Duc, Dictionnaire raisonne (recovered from verification; the serrurerie reader delivered no findings file)
Penture (hinge strap), fig. 17	flat bar stock: width x thickness	0.09 x 0.009	m (max)	une simple barre de fer plat de 0 m ,09 de largeur sur 0 m ,009 d'epaisseur au plus	Serrurerie, Viollet-le-Duc, Dictionnaire raisonne (recovered from verification; the serrurerie reader delivered no findings file)
Penture (hinge strap)	strap section: thickness at the edges vs at the centre	0.005 / 0.008	m	les bords n'ont que 5 millimetres, et le milieu 8 millimetres	Serrurerie, Viollet-le-Duc, Dictionnaire raisonne (recovered from verification; the serrurerie reader delivered no findings file)
Grille	angle irons (fers d'angle)	0.022	m	Les fers d'angle ont 22 millimetres	Serrurerie, Viollet-le-Duc, Dictionnaire raisonne (recovered from verification; the serrurerie reader delivered no findings file)
Angers door (fig. 26)	width and depth of the door rebate (feuillure) housing the lock	0.05	m	cette feuillure etant large et profonde (0 m ,05, voyez en a )	Serrurerie, Viollet-le-Duc, Dictionnaire raisonne (recovered from verification; the serrurerie reader delivered no findings file)
Great gate leaves fitted with rack bolts (fig. 34)	height of the leaf	4 to 5	m	d'une hauteur de 4 a 5 metres	Serrurerie, Viollet-le-Duc, Dictionnaire raisonne (recovered from verification; the serrurerie reader delivered no findings file)
