bom_row_id,candidate_id,building,element,value,unit,value_m,datum,evidence_class,uncertainty_type,verified_full_res,source_id,leaf_ref,quote
B040,RESERVE-cholsey,Cholsey barn (demolished),height (as printed — see flag),51 ft,ft,15.545,unstated,secondary,,no,addy1898,n166 (printed 132),"There was formerly a barn at Cholsey, in Berkshire, 303 feet long and 51 feet high. The pillars were four yards in circumference. — Parker's Glossary of Arch., 1850, p. 241 [FLAG: '51 feet high' is what Addy prints; the usual published figure for Cholsey is a WIDTH of about 54 ft, so this may be Parker's or Addy's slip for 'wide'. Recorded as printed, not corrected.]"
B041,RESERVE-cholsey,Cholsey barn (demolished),pillar circumference,12 ft,ft (= 4 yards),3.658,unstated,secondary,,no,addy1898,n166 (printed 132),"There was formerly a barn at Cholsey, in Berkshire, 303 feet long and 51 feet high. The pillars were four yards in circumference. — Parker's Glossary of Arch., 1850, p. 241 [FLAG: '51 feet high' is what Addy prints; the usual published figure for Cholsey is a WIDTH of about 54 ft, so this may be Parker's or Addy's slip for 'wide'. Recorded as printed, not corrected.]"
B042,BC-02A-hatfield-mud,"Great Hatfield mud house (single-storey cot, open hearth)",external length,28 ft,ft,8.534,unstated,measured,,no,addy1898,n72 (printed 38),"A good example of a mud house, not now occupied, may be seen at Great Hatfield, Mappleton, in East Yorkshire. The outside length is 28 ft, and the inside breadth 15 ft. 2 in. The height to the eaves, which project ten inches, is 6 ft. 2 in. The mud walls are 1 ft. 7 in. thick. The house has one door, 3 ft 3 in. wide, facing south... The length of the ""speer"" is four feet, so that it just covers the door. Its height is 6 ft. 2 in."
B043,BC-02A-hatfield-mud,"Great Hatfield mud house (single-storey cot, open hearth)",internal breadth,15 ft 2 in,ft in,4.623,unstated,measured,,no,addy1898,n72 (printed 38),"A good example of a mud house, not now occupied, may be seen at Great Hatfield, Mappleton, in East Yorkshire. The outside length is 28 ft, and the inside breadth 15 ft. 2 in. The height to the eaves, which project ten inches, is 6 ft. 2 in. The mud walls are 1 ft. 7 in. thick. The house has one door, 3 ft 3 in. wide, facing south... The length of the ""speer"" is four feet, so that it just covers the door. Its height is 6 ft. 2 in."
B044,BC-02A-hatfield-mud,"Great Hatfield mud house (single-storey cot, open hearth)",height to eaves,6 ft 2 in,ft in,1.880,height to eaves,measured,,no,addy1898,n72 (printed 38),"A good example of a mud house, not now occupied, may be seen at Great Hatfield, Mappleton, in East Yorkshire. The outside length is 28 ft, and the inside breadth 15 ft. 2 in. The height to the eaves, which project ten inches, is 6 ft. 2 in. The mud walls are 1 ft. 7 in. thick. The house has one door, 3 ft 3 in. wide, facing south... The length of the ""speer"" is four feet, so that it just covers the door. Its height is 6 ft. 2 in."
B045,BC-02A-hatfield-mud,"Great Hatfield mud house (single-storey cot, open hearth)",eaves projection,10 in,in,0.254,eaves projection,measured,,no,addy1898,n72 (printed 38),"A good example of a mud house, not now occupied, may be seen at Great Hatfield, Mappleton, in East Yorkshire. The outside length is 28 ft, and the inside breadth 15 ft. 2 in. The height to the eaves, which project ten inches, is 6 ft. 2 in. The mud walls are 1 ft. 7 in. thick. The house has one door, 3 ft 3 in. wide, facing south... The length of the ""speer"" is four feet, so that it just covers the door. Its height is 6 ft. 2 in."
B046,BC-02A-hatfield-mud,"Great Hatfield mud house (single-storey cot, open hearth)",mud wall thickness,1 ft 7 in,ft in,0.483,unstated,measured,,no,addy1898,n72 (printed 38),"A good example of a mud house, not now occupied, may be seen at Great Hatfield, Mappleton, in East Yorkshire. The outside length is 28 ft, and the inside breadth 15 ft. 2 in. The height to the eaves, which project ten inches, is 6 ft. 2 in. The mud walls are 1 ft. 7 in. thick. The house has one door, 3 ft 3 in. wide, facing south... The length of the ""speer"" is four feet, so that it just covers the door. Its height is 6 ft. 2 in."
B047,BC-02A-hatfield-mud,"Great Hatfield mud house (single-storey cot, open hearth)",door width,3 ft 3 in,ft in,0.991,unstated,measured,,no,addy1898,n72 (printed 38),"A good example of a mud house, not now occupied, may be seen at Great Hatfield, Mappleton, in East Yorkshire. The outside length is 28 ft, and the inside breadth 15 ft. 2 in. The height to the eaves, which project ten inches, is 6 ft. 2 in. The mud walls are 1 ft. 7 in. thick. The house has one door, 3 ft 3 in. wide, facing south... The length of the ""speer"" is four feet, so that it just covers the door. Its height is 6 ft. 2 in."
B048,BC-02A-hatfield-mud,"Great Hatfield mud house (single-storey cot, open hearth)","""speer"" (hearth screen) length",4 ft,ft,1.219,unstated,measured,,no,addy1898,n72 (printed 38),"A good example of a mud house, not now occupied, may be seen at Great Hatfield, Mappleton, in East Yorkshire. The outside length is 28 ft, and the inside breadth 15 ft. 2 in. The height to the eaves, which project ten inches, is 6 ft. 2 in. The mud walls are 1 ft. 7 in. thick. The house has one door, 3 ft 3 in. wide, facing south... The length of the ""speer"" is four feet, so that it just covers the door. Its height is 6 ft. 2 in."
B049,BC-02A-hatfield-mud,"Great Hatfield mud house (single-storey cot, open hearth)","""speer"" (hearth screen) height",6 ft 2 in,ft in,1.880,unstated,measured,,no,addy1898,n72 (printed 38),"A good example of a mud house, not now occupied, may be seen at Great Hatfield, Mappleton, in East Yorkshire. The outside length is 28 ft, and the inside breadth 15 ft. 2 in. The height to the eaves, which project ten inches, is 6 ft. 2 in. The mud walls are 1 ft. 7 in. thick. The house has one door, 3 ft 3 in. wide, facing south... The length of the ""speer"" is four feet, so that it just covers the door. Its height is 6 ft. 2 in."
B050,BC-04A-rushy-lee,"""Coit"" at Rushy Lee — combined dwelling + shippon, basilical, aisled",external length,44 ft,ft,13.411,unstated,measured,,no,addy1898,n104 (printed 70),"At Rushy Lee... is one of those numerous buildings known in Yorkshire as ""coits""... The larger door, 6 ft. high and 4 ft. 8 in. wide, is the main entrance to the building... Its length is forty-four, and its breadth thirty-seven feet. Four cows stood between each pair of wooden pillars, two in a stall. [and n103: 'is built in bays of approximately fifteen feet in length']"
B051,BC-04A-rushy-lee,"""Coit"" at Rushy Lee — combined dwelling + shippon, basilical, aisled",external breadth,37 ft,ft,11.278,unstated,measured,,no,addy1898,n104 (printed 70),"At Rushy Lee... is one of those numerous buildings known in Yorkshire as ""coits""... The larger door, 6 ft. high and 4 ft. 8 in. wide, is the main entrance to the building... Its length is forty-four, and its breadth thirty-seven feet. Four cows stood between each pair of wooden pillars, two in a stall. [and n103: 'is built in bays of approximately fifteen feet in length']"
B052,BC-04A-rushy-lee,"""Coit"" at Rushy Lee — combined dwelling + shippon, basilical, aisled",main (shippon) door height,6 ft,ft,1.829,unstated,measured,,no,addy1898,n104 (printed 70),"At Rushy Lee... is one of those numerous buildings known in Yorkshire as ""coits""... The larger door, 6 ft. high and 4 ft. 8 in. wide, is the main entrance to the building... Its length is forty-four, and its breadth thirty-seven feet. Four cows stood between each pair of wooden pillars, two in a stall. [and n103: 'is built in bays of approximately fifteen feet in length']"
B053,BC-04A-rushy-lee,"""Coit"" at Rushy Lee — combined dwelling + shippon, basilical, aisled",main (shippon) door width,4 ft 8 in,ft in,1.422,unstated,measured,,no,addy1898,n104 (printed 70),"At Rushy Lee... is one of those numerous buildings known in Yorkshire as ""coits""... The larger door, 6 ft. high and 4 ft. 8 in. wide, is the main entrance to the building... Its length is forty-four, and its breadth thirty-seven feet. Four cows stood between each pair of wooden pillars, two in a stall. [and n103: 'is built in bays of approximately fifteen feet in length']"
B054,BC-04A-rushy-lee,"""Coit"" at Rushy Lee — combined dwelling + shippon, basilical, aisled",structural bay length,15 ft,ft (approximately),4.572,unstated,measured,,no,addy1898,n104 (printed 70),"At Rushy Lee... is one of those numerous buildings known in Yorkshire as ""coits""... The larger door, 6 ft. high and 4 ft. 8 in. wide, is the main entrance to the building... Its length is forty-four, and its breadth thirty-seven feet. Four cows stood between each pair of wooden pillars, two in a stall. [and n103: 'is built in bays of approximately fifteen feet in length']"
B055,BC-09A-padley,Padley Hall — buttery (ground floor),internal plan dimension A (order as printed),15 ft,ft,4.572,unstated,measured,,no,addy1898,n171 (printed 137),"[buttery] measures 15 by 17 feet, and, measured up to the original beams of the floor, is 12 feet high. It contains one window, 2 ft. 7 in. by 2 ft. 5 in., looking into the quadrangle... Within the buttress, about two feet from the ground, is an opening 2 ft. 4 in. square, finished by dressed stones, which may have served for an ambry... surrounded on its outer sides by walls nearly three feet thick"
B056,BC-09A-padley,Padley Hall — buttery (ground floor),internal plan dimension B (order as printed),17 ft,ft,5.182,unstated,measured,,no,addy1898,n171 (printed 137),"[buttery] measures 15 by 17 feet, and, measured up to the original beams of the floor, is 12 feet high. It contains one window, 2 ft. 7 in. by 2 ft. 5 in., looking into the quadrangle... Within the buttress, about two feet from the ground, is an opening 2 ft. 4 in. square, finished by dressed stones, which may have served for an ambry... surrounded on its outer sides by walls nearly three feet thick"
B057,BC-09A-padley,Padley Hall — buttery (ground floor),internal height to original floor beams,12 ft,ft,3.658,internal height to original floor beams,measured,,no,addy1898,n171 (printed 137),"[buttery] measures 15 by 17 feet, and, measured up to the original beams of the floor, is 12 feet high. It contains one window, 2 ft. 7 in. by 2 ft. 5 in., looking into the quadrangle... Within the buttress, about two feet from the ground, is an opening 2 ft. 4 in. square, finished by dressed stones, which may have served for an ambry... surrounded on its outer sides by walls nearly three feet thick"
B058,BC-09A-padley,Padley Hall — buttery (ground floor),window opening height,2 ft 7 in,ft in,0.787,unstated,measured,,no,addy1898,n171 (printed 137),"[buttery] measures 15 by 17 feet, and, measured up to the original beams of the floor, is 12 feet high. It contains one window, 2 ft. 7 in. by 2 ft. 5 in., looking into the quadrangle... Within the buttress, about two feet from the ground, is an opening 2 ft. 4 in. square, finished by dressed stones, which may have served for an ambry... surrounded on its outer sides by walls nearly three feet thick"
B059,BC-09A-padley,Padley Hall — buttery (ground floor),window opening width,2 ft 5 in,ft in,0.737,unstated,measured,,no,addy1898,n171 (printed 137),"[buttery] measures 15 by 17 feet, and, measured up to the original beams of the floor, is 12 feet high. It contains one window, 2 ft. 7 in. by 2 ft. 5 in., looking into the quadrangle... Within the buttress, about two feet from the ground, is an opening 2 ft. 4 in. square, finished by dressed stones, which may have served for an ambry... surrounded on its outer sides by walls nearly three feet thick"
B060,BC-09A-padley,Padley Hall — buttery (ground floor),ambry opening (square),2 ft 4 in,ft in,0.711,ambry opening (square),measured,,no,addy1898,n171 (printed 137),"[buttery] measures 15 by 17 feet, and, measured up to the original beams of the floor, is 12 feet high. It contains one window, 2 ft. 7 in. by 2 ft. 5 in., looking into the quadrangle... Within the buttress, about two feet from the ground, is an opening 2 ft. 4 in. square, finished by dressed stones, which may have served for an ambry... surrounded on its outer sides by walls nearly three feet thick"
B061,BC-09A-padley,Padley Hall — buttery (ground floor),ambry sill height above floor,2 ft,ft (about),0.610,ambry sill height above floor,measured,,no,addy1898,n171 (printed 137),"[buttery] measures 15 by 17 feet, and, measured up to the original beams of the floor, is 12 feet high. It contains one window, 2 ft. 7 in. by 2 ft. 5 in., looking into the quadrangle... Within the buttress, about two feet from the ground, is an opening 2 ft. 4 in. square, finished by dressed stones, which may have served for an ambry... surrounded on its outer sides by walls nearly three feet thick"
B062,BC-09A-padley,Padley Hall — buttery (ground floor),external wall thickness,3 ft,ft (nearly),0.914,unstated,measured,,no,addy1898,n171 (printed 137),"[buttery] measures 15 by 17 feet, and, measured up to the original beams of the floor, is 12 feet high. It contains one window, 2 ft. 7 in. by 2 ft. 5 in., looking into the quadrangle... Within the buttress, about two feet from the ground, is an opening 2 ft. 4 in. square, finished by dressed stones, which may have served for an ambry... surrounded on its outer sides by walls nearly three feet thick"
B063,BC-09A-padley,"Padley Hall — hall (ground floor, chapel over)",internal length,32 ft,ft,9.754,unstated,measured,,no,addy1898,n174 (printed 140),"This room is 32 feet in length and 17 feet in breadth. Like the buttery it was 12 feet high. It has a square-headed window in each of its three outer walls. The largest window, which faces inwards, is 2 ft. 7 in. by 2 ft. 4 in. The two other windows are only 2 ft. 6 in. by 1 ft."
B064,BC-09A-padley,"Padley Hall — hall (ground floor, chapel over)",internal breadth,17 ft,ft,5.182,unstated,measured,,no,addy1898,n174 (printed 140),"This room is 32 feet in length and 17 feet in breadth. Like the buttery it was 12 feet high. It has a square-headed window in each of its three outer walls. The largest window, which faces inwards, is 2 ft. 7 in. by 2 ft. 4 in. The two other windows are only 2 ft. 6 in. by 1 ft."
B065,BC-09A-padley,"Padley Hall — hall (ground floor, chapel over)",internal height,12 ft,ft,3.658,unstated,measured,,no,addy1898,n174 (printed 140),"This room is 32 feet in length and 17 feet in breadth. Like the buttery it was 12 feet high. It has a square-headed window in each of its three outer walls. The largest window, which faces inwards, is 2 ft. 7 in. by 2 ft. 4 in. The two other windows are only 2 ft. 6 in. by 1 ft."
B066,BC-09A-padley,"Padley Hall — hall (ground floor, chapel over)",principal window height,2 ft 7 in,ft in,0.787,unstated,measured,,no,addy1898,n174 (printed 140),"This room is 32 feet in length and 17 feet in breadth. Like the buttery it was 12 feet high. It has a square-headed window in each of its three outer walls. The largest window, which faces inwards, is 2 ft. 7 in. by 2 ft. 4 in. The two other windows are only 2 ft. 6 in. by 1 ft."
B067,BC-09A-padley,"Padley Hall — hall (ground floor, chapel over)",principal window width,2 ft 4 in,ft in,0.711,unstated,measured,,no,addy1898,n174 (printed 140),"This room is 32 feet in length and 17 feet in breadth. Like the buttery it was 12 feet high. It has a square-headed window in each of its three outer walls. The largest window, which faces inwards, is 2 ft. 7 in. by 2 ft. 4 in. The two other windows are only 2 ft. 6 in. by 1 ft."
B068,BC-09A-padley,"Padley Hall — hall (ground floor, chapel over)",secondary window height,2 ft 6 in,ft in,0.762,unstated,measured,,no,addy1898,n174 (printed 140),"This room is 32 feet in length and 17 feet in breadth. Like the buttery it was 12 feet high. It has a square-headed window in each of its three outer walls. The largest window, which faces inwards, is 2 ft. 7 in. by 2 ft. 4 in. The two other windows are only 2 ft. 6 in. by 1 ft."
B069,BC-09A-padley,"Padley Hall — hall (ground floor, chapel over)",secondary window width,1 ft,ft,0.305,unstated,measured,,no,addy1898,n174 (printed 140),"This room is 32 feet in length and 17 feet in breadth. Like the buttery it was 12 feet high. It has a square-headed window in each of its three outer walls. The largest window, which faces inwards, is 2 ft. 7 in. by 2 ft. 4 in. The two other windows are only 2 ft. 6 in. by 1 ft."
B070,BC-09B-charney,Charney Bassett manor house — first-floor chapel,internal length,12 ft 5 in,ft in,3.785,unstated,measured,,no,addy1898,n180 (printed 146),"A house at Charney-Basset near Wantage, in Berkshire, has a hall and buttery on the ground-floor, with a chamber and chapel on the floor above them... the chapel, which is only 12 ft. 5 in. by 9 ft. 10 in., is over the buttery... The hall beneath the chamber is 30 feet by 16"
B071,BC-09B-charney,Charney Bassett manor house — first-floor chapel,internal breadth,9 ft 10 in,ft in,2.997,unstated,measured,,no,addy1898,n180 (printed 146),"A house at Charney-Basset near Wantage, in Berkshire, has a hall and buttery on the ground-floor, with a chamber and chapel on the floor above them... the chapel, which is only 12 ft. 5 in. by 9 ft. 10 in., is over the buttery... The hall beneath the chamber is 30 feet by 16"
B072,BC-09B-charney,Charney Bassett manor house — ground-floor hall,internal length,30 ft,ft,9.144,unstated,measured,,no,addy1898,n180 (printed 146),"A house at Charney-Basset near Wantage, in Berkshire, has a hall and buttery on the ground-floor, with a chamber and chapel on the floor above them... the chapel, which is only 12 ft. 5 in. by 9 ft. 10 in., is over the buttery... The hall beneath the chamber is 30 feet by 16"
B073,BC-09B-charney,Charney Bassett manor house — ground-floor hall,internal breadth,16 ft,ft,4.877,unstated,measured,,no,addy1898,n180 (printed 146),"A house at Charney-Basset near Wantage, in Berkshire, has a hall and buttery on the ground-floor, with a chamber and chapel on the floor above them... the chapel, which is only 12 ft. 5 in. by 9 ft. 10 in., is over the buttery... The hall beneath the chamber is 30 feet by 16"
B074,BC-06A-peveril,Peak (Peveril) Castle keep — upper apartment / living room,internal length,22 ft,ft,6.706,unstated,measured,,no,addy1898,n192 (printed 158),"The height of this room was 17 feet to the ""square,"" and 27 feet to the ridge. The length is 22 feet, and the breadth 19 feet... This doorway, 4 ft. 9 in. wide, is surmounted on the outside by a relieving arch and tympanum. It is 8 ft. 6 in. above the present level of the ground outside."
B075,BC-06A-peveril,Peak (Peveril) Castle keep — upper apartment / living room,internal breadth,19 ft,ft,5.791,unstated,measured,,no,addy1898,n192 (printed 158),"The height of this room was 17 feet to the ""square,"" and 27 feet to the ridge. The length is 22 feet, and the breadth 19 feet... This doorway, 4 ft. 9 in. wide, is surmounted on the outside by a relieving arch and tympanum. It is 8 ft. 6 in. above the present level of the ground outside."
B076,BC-06A-peveril,Peak (Peveril) Castle keep — upper apartment / living room,"height, floor to the ""square"" (wall-head)",17 ft,ft,5.182,"height, floor to the ""square"" (wall-head)",measured,,no,addy1898,n192 (printed 158),"The height of this room was 17 feet to the ""square,"" and 27 feet to the ridge. The length is 22 feet, and the breadth 19 feet... This doorway, 4 ft. 9 in. wide, is surmounted on the outside by a relieving arch and tympanum. It is 8 ft. 6 in. above the present level of the ground outside."
B077,BC-06A-peveril,Peak (Peveril) Castle keep — upper apartment / living room,"height, floor to ridge",27 ft,ft,8.230,"height, floor to ridge",measured,,no,addy1898,n192 (printed 158),"The height of this room was 17 feet to the ""square,"" and 27 feet to the ridge. The length is 22 feet, and the breadth 19 feet... This doorway, 4 ft. 9 in. wide, is surmounted on the outside by a relieving arch and tympanum. It is 8 ft. 6 in. above the present level of the ground outside."
B078,BC-06A-peveril,Peak (Peveril) Castle keep — upper apartment / living room,first-floor entrance doorway width,4 ft 9 in,ft in,1.448,first-floor entrance doorway width,measured,,no,addy1898,n192 (printed 158),"The height of this room was 17 feet to the ""square,"" and 27 feet to the ridge. The length is 22 feet, and the breadth 19 feet... This doorway, 4 ft. 9 in. wide, is surmounted on the outside by a relieving arch and tympanum. It is 8 ft. 6 in. above the present level of the ground outside."
B079,BC-06A-peveril,Peak (Peveril) Castle keep — upper apartment / living room,entrance doorway sill height above external ground,8 ft 6 in,ft in,2.591,entrance doorway sill height above external ground,measured,,no,addy1898,n192 (printed 158),"The height of this room was 17 feet to the ""square,"" and 27 feet to the ridge. The length is 22 feet, and the breadth 19 feet... This doorway, 4 ft. 9 in. wide, is surmounted on the outside by a relieving arch and tympanum. It is 8 ft. 6 in. above the present level of the ground outside."
B080,BC-06A-peveril,Peak (Peveril) Castle keep — basement / ground-floor store,"height, highest internal ground to floor-ledges",12 ft,ft,3.658,"height, highest internal ground to floor-ledges",measured,,no,addy1898,n198 (printed 164),"The height of this room, measured from the highest part of the ground within to the ledges which supported the floor above, was 12 feet, and 17 feet measured from the lowest part of the ground."
B081,BC-06A-peveril,Peak (Peveril) Castle keep — basement / ground-floor store,"height, lowest internal ground to floor-ledges",17 ft,ft,5.182,"height, lowest internal ground to floor-ledges",measured,,no,addy1898,n198 (printed 164),"The height of this room, measured from the highest part of the ground within to the ledges which supported the floor above, was 12 feet, and 17 feet measured from the lowest part of the ground."
B082,BC-06A-peveril,"Peak (Peveril) Castle keep — ""sentry"" aperture above the roof",aperture depth (through wall),6 ft 5 in,ft in,1.956,unstated,measured,,no,addy1898,n197 (printed 163),"It is about 6 ft. 5 in. in depth and 4 ft 1 in. in breadth. The narrow loop-hole at the outer end of the aperture has been crossed horizontally by two iron bars, one at the height of 4 ft 7 in. above the floor, and the other a little above the floor."
B083,BC-06A-peveril,"Peak (Peveril) Castle keep — ""sentry"" aperture above the roof",aperture breadth,4 ft 1 in,ft in,1.245,unstated,measured,,no,addy1898,n197 (printed 163),"It is about 6 ft. 5 in. in depth and 4 ft 1 in. in breadth. The narrow loop-hole at the outer end of the aperture has been crossed horizontally by two iron bars, one at the height of 4 ft 7 in. above the floor, and the other a little above the floor."
B084,BC-06A-peveril,"Peak (Peveril) Castle keep — ""sentry"" aperture above the roof",upper iron bar height above aperture floor,4 ft 7 in,ft in,1.397,upper iron bar height above aperture floor,measured,,no,addy1898,n197 (printed 163),"It is about 6 ft. 5 in. in depth and 4 ft 1 in. in breadth. The narrow loop-hole at the outer end of the aperture has been crossed horizontally by two iron bars, one at the height of 4 ft 7 in. above the floor, and the other a little above the floor."
B085,BC-12A-gallarus,"""Oratory"" of Gallarus — dry-rubble corbelled cell",internal length,15 ft 3 in,ft in,4.648,unstated,measured,,no,addy1898,n59 (printed 25),"The ""oratory"" is composed of dry rubble masonry, and consists of a single rectangular chamber 15 ft. 3 in. long by 10 ft. wide inside. ""It has a flat-headed western doorway with inclining jambs, 5 ft. 10 in. high by 1 ft. 11 in. wide at the top, and 2 ft. 5 in. wide at the bottom inside... The outside aperture is 1 ft. 3 in. high by 9 1/2 in. wide at the top, and 10 in. at the bottom. The window measures on the inside 3 ft. 3 in. high by 1 ft 6 in. wide at the top, and 1 ft. 9 in. wide at the bottom. On the inside of the doorway, at a height of eight inches above the bottom of the lintel, is a projecting stone on each side, with a hole three inches square through it to receive the door-frame... The flags below these are 1 ft. 4 in. wide."" — Arch. Cambr., vol. ix. (5th S.), 148"
B086,BC-12A-gallarus,"""Oratory"" of Gallarus — dry-rubble corbelled cell",internal width,10 ft,ft,3.048,unstated,measured,,no,addy1898,n59 (printed 25),"The ""oratory"" is composed of dry rubble masonry, and consists of a single rectangular chamber 15 ft. 3 in. long by 10 ft. wide inside. ""It has a flat-headed western doorway with inclining jambs, 5 ft. 10 in. high by 1 ft. 11 in. wide at the top, and 2 ft. 5 in. wide at the bottom inside... The outside aperture is 1 ft. 3 in. high by 9 1/2 in. wide at the top, and 10 in. at the bottom. The window measures on the inside 3 ft. 3 in. high by 1 ft 6 in. wide at the top, and 1 ft. 9 in. wide at the bottom. On the inside of the doorway, at a height of eight inches above the bottom of the lintel, is a projecting stone on each side, with a hole three inches square through it to receive the door-frame... The flags below these are 1 ft. 4 in. wide."" — Arch. Cambr., vol. ix. (5th S.), 148"
B087,BC-12A-gallarus,"""Oratory"" of Gallarus — dry-rubble corbelled cell",doorway height,5 ft 10 in,ft in,1.778,unstated,measured,,no,addy1898,n59 (printed 25),"The ""oratory"" is composed of dry rubble masonry, and consists of a single rectangular chamber 15 ft. 3 in. long by 10 ft. wide inside. ""It has a flat-headed western doorway with inclining jambs, 5 ft. 10 in. high by 1 ft. 11 in. wide at the top, and 2 ft. 5 in. wide at the bottom inside... The outside aperture is 1 ft. 3 in. high by 9 1/2 in. wide at the top, and 10 in. at the bottom. The window measures on the inside 3 ft. 3 in. high by 1 ft 6 in. wide at the top, and 1 ft. 9 in. wide at the bottom. On the inside of the doorway, at a height of eight inches above the bottom of the lintel, is a projecting stone on each side, with a hole three inches square through it to receive the door-frame... The flags below these are 1 ft. 4 in. wide."" — Arch. Cambr., vol. ix. (5th S.), 148"
B088,BC-12A-gallarus,"""Oratory"" of Gallarus — dry-rubble corbelled cell",doorway width at head (inclining jambs),1 ft 11 in,ft in,0.584,unstated,measured,,no,addy1898,n59 (printed 25),"The ""oratory"" is composed of dry rubble masonry, and consists of a single rectangular chamber 15 ft. 3 in. long by 10 ft. wide inside. ""It has a flat-headed western doorway with inclining jambs, 5 ft. 10 in. high by 1 ft. 11 in. wide at the top, and 2 ft. 5 in. wide at the bottom inside... The outside aperture is 1 ft. 3 in. high by 9 1/2 in. wide at the top, and 10 in. at the bottom. The window measures on the inside 3 ft. 3 in. high by 1 ft 6 in. wide at the top, and 1 ft. 9 in. wide at the bottom. On the inside of the doorway, at a height of eight inches above the bottom of the lintel, is a projecting stone on each side, with a hole three inches square through it to receive the door-frame... The flags below these are 1 ft. 4 in. wide."" — Arch. Cambr., vol. ix. (5th S.), 148"
B089,BC-12A-gallarus,"""Oratory"" of Gallarus — dry-rubble corbelled cell",doorway width at sill (inclining jambs),2 ft 5 in,ft in,0.737,doorway width at sill (inclining jambs),measured,,no,addy1898,n59 (printed 25),"The ""oratory"" is composed of dry rubble masonry, and consists of a single rectangular chamber 15 ft. 3 in. long by 10 ft. wide inside. ""It has a flat-headed western doorway with inclining jambs, 5 ft. 10 in. high by 1 ft. 11 in. wide at the top, and 2 ft. 5 in. wide at the bottom inside... The outside aperture is 1 ft. 3 in. high by 9 1/2 in. wide at the top, and 10 in. at the bottom. The window measures on the inside 3 ft. 3 in. high by 1 ft 6 in. wide at the top, and 1 ft. 9 in. wide at the bottom. On the inside of the doorway, at a height of eight inches above the bottom of the lintel, is a projecting stone on each side, with a hole three inches square through it to receive the door-frame... The flags below these are 1 ft. 4 in. wide."" — Arch. Cambr., vol. ix. (5th S.), 148"
B090,BC-12A-gallarus,"""Oratory"" of Gallarus — dry-rubble corbelled cell","window, external aperture height",1 ft 3 in,ft in,0.381,unstated,measured,,no,addy1898,n59 (printed 25),"The ""oratory"" is composed of dry rubble masonry, and consists of a single rectangular chamber 15 ft. 3 in. long by 10 ft. wide inside. ""It has a flat-headed western doorway with inclining jambs, 5 ft. 10 in. high by 1 ft. 11 in. wide at the top, and 2 ft. 5 in. wide at the bottom inside... The outside aperture is 1 ft. 3 in. high by 9 1/2 in. wide at the top, and 10 in. at the bottom. The window measures on the inside 3 ft. 3 in. high by 1 ft 6 in. wide at the top, and 1 ft. 9 in. wide at the bottom. On the inside of the doorway, at a height of eight inches above the bottom of the lintel, is a projecting stone on each side, with a hole three inches square through it to receive the door-frame... The flags below these are 1 ft. 4 in. wide."" — Arch. Cambr., vol. ix. (5th S.), 148"
B091,BC-12A-gallarus,"""Oratory"" of Gallarus — dry-rubble corbelled cell","window, external width at head",10 in,"in [OCR '9!' — printed value is probably 9 1/2 in; 10 in recorded is the BOTTOM figure, see ocr-uncertain row]",0.254,unstated,measured,,no,addy1898,n59 (printed 25),"The ""oratory"" is composed of dry rubble masonry, and consists of a single rectangular chamber 15 ft. 3 in. long by 10 ft. wide inside. ""It has a flat-headed western doorway with inclining jambs, 5 ft. 10 in. high by 1 ft. 11 in. wide at the top, and 2 ft. 5 in. wide at the bottom inside... The outside aperture is 1 ft. 3 in. high by 9 1/2 in. wide at the top, and 10 in. at the bottom. The window measures on the inside 3 ft. 3 in. high by 1 ft 6 in. wide at the top, and 1 ft. 9 in. wide at the bottom. On the inside of the doorway, at a height of eight inches above the bottom of the lintel, is a projecting stone on each side, with a hole three inches square through it to receive the door-frame... The flags below these are 1 ft. 4 in. wide."" — Arch. Cambr., vol. ix. (5th S.), 148"
B092,BC-12A-gallarus,"""Oratory"" of Gallarus — dry-rubble corbelled cell","window, external width at sill",10 in,in,0.254,"window, external width at sill",measured,,no,addy1898,n59 (printed 25),"The ""oratory"" is composed of dry rubble masonry, and consists of a single rectangular chamber 15 ft. 3 in. long by 10 ft. wide inside. ""It has a flat-headed western doorway with inclining jambs, 5 ft. 10 in. high by 1 ft. 11 in. wide at the top, and 2 ft. 5 in. wide at the bottom inside... The outside aperture is 1 ft. 3 in. high by 9 1/2 in. wide at the top, and 10 in. at the bottom. The window measures on the inside 3 ft. 3 in. high by 1 ft 6 in. wide at the top, and 1 ft. 9 in. wide at the bottom. On the inside of the doorway, at a height of eight inches above the bottom of the lintel, is a projecting stone on each side, with a hole three inches square through it to receive the door-frame... The flags below these are 1 ft. 4 in. wide."" — Arch. Cambr., vol. ix. (5th S.), 148"
